Match_Status,RefId,LocalDate,paymentMethod1,Item_SubTotal,Order_SubTotal,SubTotal_Difference,Item_Discount,Order_Discount,Discount_Difference,Item_Total,Order_Total,Total_Difference,Item_Tax,Order_Tax,Tax_Difference,Is_Anomaly
❌ Anomaly,90bcaa6f-bf62-475e-9100-f4718d91644a,2026-03-09,GrabFood - Delivery,96000.0,96000.0,0.0,0.0,0.0,0.0,78544.0,96000.0,-17456.0,8728.0,8728.0,0.0,true
❌ Anomaly,9d2bfb52-cc93-4e6b-a32d-cf845ce6347e,2026-03-09,GoFood - Delivery,81000.0,81000.0,0.0,23400.0,23400.0,0.0,42140.54,57600.0,-15459.46,7729.73,7729.73,0.0,true
❌ Anomaly,9e533872-19d5-416d-b71d-de2e10b2e70d,2026-03-09,GoFood - Delivery,121000.0,121000.0,0.0,34800.0,34800.0,0.0,63209.01,86200.0,-22990.99,11495.5,11495.5,0.0,true
❌ Anomaly,a0e0a73b-7ee4-487c-9973-370ed8fd94d9,2026-03-09,GoFood - Delivery,44000.0,44000.0,0.0,0.0,0.0,0.0,35873.87,44000.0,-8126.13,4063.06,4063.06,0.0,true
❌ Anomaly,a41f66ee-7bda-4d17-b0de-7d355e37211f,2026-03-09,GoFood - Delivery,39000.0,39000.0,0.0,0.0,0.0,0.0,31864.86,39000.0,-7135.13,3567.57,3567.57,0.0,true
❌ Anomaly,a60ba93a-c991-460c-8bd1-4f1591ddd37d,2026-03-09,GoFood - Delivery,115000.0,115000.0,0.0,33000.0,33000.0,0.0,60198.2,82000.0,-21801.8,10900.9,10900.9,0.0,true
❌ Anomaly,a70a925f-7dab-4479-a085-f25d6e822b03,2026-03-09,GrabFood - Delivery,71000.0,71000.0,0.0,0.0,0.0,0.0,58090.0,71000.0,-12910.0,6455.0,6455.0,0.0,true
❌ Anomaly,ac5e2e84-83d2-4d11-bc7a-e65a06f1a929,2026-03-09,GoFood - Delivery,53000.0,53000.0,0.0,0.0,0.0,0.0,43090.09,53000.0,-9909.91,4954.95,4954.95,0.0,true
❌ Anomaly,acd4abc6-6135-4f33-a4b3-6c83d70b7543,2026-03-09,GoFood - Delivery,111000.0,111000.0,0.0,31800.0,31800.0,0.0,58190.99,79200.0,-21009.01,10504.5,10504.5,0.0,true
❌ Anomaly,b66c1b2f-79a9-4503-96be-b6933971ba48,2026-03-09,GrabFood - Delivery,66000.0,66000.0,0.0,0.0,0.0,0.0,54000.0,66000.0,-12000.0,6000.0,6000.0,0.0,true
